Category	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
A3SS	ENSBTAG00000001471	POC1A	chr22	+	48740271	48740427	48740342	48740427	48705194	48705495
A3SS	ENSBTAG00000001471	POC1A	chr22	+	48740271	48740427	48740342	48740427	48724832	48725025
A3SS	ENSBTAG00000001471	POC1A	chr22	+	48740271	48740427	48740342	48740427	48729468	48729961
A3SS	ENSBTAG00000008935	PFDN5	chr5	-	26726758	26726858	26726758	26726833	26727947	26727979
A3SS	ENSBTAG00000008935	PFDN5	chr5	-	26726758	26726858	26726758	26726833	26728268	26728378
A3SS	ENSBTAG00000008935	PFDN5	chr5	-	26726758	26726858	26726758	26726833	26728275	26728378
A3SS	ENSBTAG00000018661	TMC6	chr19	+	54028299	54028441	54028307	54028441	54025899	54025995
A3SS	ENSBTAG00000018661	TMC6	chr19	+	54031238	54031561	54031467	54031561	54029328	54029487
A3SS	ENSBTAG00000031898	CNTNAP5	chr2	+	76738204	76738375	76738237	76738375	76738088	76738129
A3SS	ENSBTAG00000021275	CIB1	chr21	-	21620501	21620645	21620501	21620610	21621647	21621682
A3SS	ENSBTAG00000018671	DCUN1D2	chr12	-	86670954	86671085	86670954	86671076	86677741	86677910
A3SS	ENSBTAG00000003415	ESD	chr12	-	16738415	16738533	16738415	16738490	16739518	16739584
A3SS	ENSBTAG00000003415	ESD	chr12	-	16738415	16738533	16738415	16738490	16740684	16740733
A3SS	ENSBTAG00000003415	ESD	chr12	-	16738415	16738533	16738415	16738490	16741526	16741586
A3SS	ENSBTAG00000008192	PLPPR2	chr7	+	15762396	15763520	15763384	15763520	15761370	15761544
A3SS	ENSBTAG00000021943	NFYC	chr3	-	105445056	105445953	105445056	105445950	105447207	105447267
A3SS	ENSBTAG00000047229	CRIP1	chr21	+	69756776	69757196	69756913	69757196	69755222	69755763
A3SS	ENSBTAG00000047229	CRIP1	chr21	+	69756776	69757196	69756913	69757196	69756591	69756686
A3SS	ENSBTAG00000047229	CRIP1	chr21	+	69756913	69757196	69757051	69757196	69756776	69756834
A3SS	ENSBTAG00000009474	NA	chr14	+	18986501	18986693	18986503	18986693	18985615	18985760
A3SS	ENSBTAG00000054191	PAG15	chr29	-	38085432	38085531	38085432	38085509	38085618	38085760
A3SS	ENSBTAG00000002871	COPS6	chr25	-	36357825	36357940	36357825	36357919	36358016	36358064
A3SS	ENSBTAG00000050036	NA	chr18	-	8570464	8571278	8570464	8571275	8573934	8574162
A3SS	ENSBTAG00000050036	NA	chr18	-	8570464	8571278	8570464	8571275	8574774	8574835
A3SS	ENSBTAG00000002628	SLC44A2	chr7	+	15129181	15130761	15129543	15130761	15128676	15128761
A3SS	ENSBTAG00000032071	SYCP1	chr3	-	28401619	28401724	28401619	28401720	28429051	28429203
A3SS	ENSBTAG00000007399	LAMP2	chrX	-	5006073	5006240	5006073	5006238	5007154	5007313
A3SS	ENSBTAG00000007399	LAMP2	chrX	-	5013345	5013497	5013345	5013464	5023385	5023623
A3SS	ENSBTAG00000010576	MAP2K3	chr19	+	35272707	35272834	35272750	35272834	35271022	35271162
A3SS	ENSBTAG00000044055	THSD7B	chr2	-	59566404	59566546	59566404	59566522	59641781	59641932
A3SS	ENSBTAG00000007456	TAZ	chrX	+	37465963	37466119	37465990	37466119	37465725	37465834
A3SS	ENSBTAG00000007456	TAZ	chrX	+	37467282	37467343	37467297	37467343	37465725	37465834
A3SS	ENSBTAG00000007456	TAZ	chrX	+	37467282	37467343	37467297	37467343	37465990	37466119
A3SS	ENSBTAG00000004054	PAPOLA	chr21	+	61372929	61373103	61372934	61373103	61358352	61358624
A3SS	ENSBTAG00000015352	MTMR4	chr19	-	9447912	9448054	9447912	9448001	9448194	9448305
A3SS	ENSBTAG00000015352	MTMR4	chr19	-	9465016	9465119	9465016	9465106	9469009	9469048
A3SS	ENSBTAG00000004284	UFD1	chr17	-	72706310	72707000	72706310	72706399	72707184	72707250
A3SS	ENSBTAG00000004284	UFD1	chr17	-	72706310	72707000	72706310	72706399	72707949	72708018
A3SS	ENSBTAG00000010178	PTPRD	chr8	+	36425441	36425542	36425444	36425542	36407787	36407932
A3SS	ENSBTAG00000010178	PTPRD	chr8	+	36425441	36425542	36425444	36425542	36424420	36425008
A3SS	ENSBTAG00000007364	PMS2	chr25	-	38006822	38007892	38006822	38007217	38009846	38010016
A3SS	ENSBTAG00000002098	CDC34	chr7	+	43177643	43179653	43179406	43179653	43173659	43174035
A3SS	ENSBTAG00000019192	LHX8	chr3	-	69653156	69653377	69653156	69653374	69655440	69655562
A3SS	ENSBTAG00000001059	IDH3G	chrX	-	37005805	37005893	37005805	37005866	37006803	37006916
A3SS	ENSBTAG00000012077	SLF2	chr26	+	21772360	21773346	21772363	21773346	21768106	21768164
A3SS	ENSBTAG00000044004	SHOC1	chr8	-	101139514	101139643	101139514	101139628	101142398	101142812
