Category	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
RI	ENSBTAG00000014429	KMT2D	chr5	+	30764349	30764811	30764349	30764435	30764684	30764811
RI	ENSBTAG00000014429	KMT2D	chr5	+	30764684	30765209	30764684	30764811	30764985	30765209
RI	ENSBTAG00000014429	KMT2D	chr5	+	30773551	30773802	30773551	30773661	30773754	30773802
RI	ENSBTAG00000014429	KMT2D	chr5	+	30776283	30776643	30776283	30776349	30776532	30776643
RI	ENSBTAG00000000179	RPUSD1	chr25	-	668468	669347	668468	668655	669194	669347
RI	ENSBTAG00000018806	PSRC1	chr3	+	34125514	34126118	34125514	34125754	34126008	34126118
RI	ENSBTAG00000018806	PSRC1	chr3	+	34125514	34126267	34125514	34125754	34126209	34126267
RI	ENSBTAG00000018806	PSRC1	chr3	+	34125514	34126267	34125514	34126118	34126209	34126267
RI	ENSBTAG00000018661	TMC6	chr19	+	54031238	54031561	54031238	54031344	54031467	54031561
RI	ENSBTAG00000045625	NTN3	chr25	+	1977398	1977659	1977398	1977449	1977584	1977659
RI	ENSBTAG00000032059	TGM5	chr21	-	55026626	55026872	55026626	55026687	55026759	55026872
RI	ENSBTAG00000010015	NMRAL1	chr25	-	3613811	3614300	3613811	3613885	3614013	3614300
RI	ENSBTAG00000008192	PLPPR2	chr7	+	15762396	15763520	15762396	15762476	15763384	15763520
RI	ENSBTAG00000008192	PLPPR2	chr7	+	15766222	15768134	15766222	15766345	15766850	15768134
RI	ENSBTAG00000013057	CBLB	chr1	-	50479720	50480702	50479720	50479902	50480570	50480702
RI	ENSBTAG00000006428	ZNF354A	chr7	-	39797174	39798739	39797174	39798418	39798574	39798739
RI	ENSBTAG00000047229	CRIP1	chr21	+	69756776	69757196	69756776	69756834	69756913	69757196
RI	ENSBTAG00000047229	CRIP1	chr21	+	69756776	69757196	69756776	69756834	69757051	69757196
RI	ENSBTAG00000047229	CRIP1	chr21	+	69756913	69757196	69756913	69756960	69757051	69757196
RI	ENSBTAG00000000670	RRP9	chr22	+	48997834	48998979	48997834	48997908	48998024	48998979
RI	ENSBTAG00000048906	AHNAK2	chr21	-	69380072	69380359	69380072	69380171	69380300	69380359
RI	ENSBTAG00000006367	CCN2	chr9	-	69889836	69890613	69889836	69890059	69890174	69890613
RI	ENSBTAG00000015988	MYH11	chr25	-	14154326	14154533	14154326	14154359	14154494	14154533
RI	ENSBTAG00000031737	TMEM102	chr19	+	27112267	27112956	27112267	27112407	27112722	27112956
RI	ENSBTAG00000011988	KIAA0100	chr19	-	20086099	20087235	20086099	20086244	20087111	20087235
RI	ENSBTAG00000011108	USP54	chr28	-	29497631	29499019	29497631	29497790	29497991	29499019
RI	ENSBTAG00000012148	EHMT1	chr11	+	106686694	106687654	106686694	106686870	106686944	106687654
RI	ENSBTAG00000015352	MTMR4	chr19	-	9450051	9451453	9450051	9450338	9450449	9451453
RI	ENSBTAG00000015352	MTMR4	chr19	-	9450051	9451453	9450051	9450338	9450674	9451453
RI	ENSBTAG00000015352	MTMR4	chr19	-	9450449	9451453	9450449	9450554	9450674	9451453
RI	ENSBTAG00000010799	MYL6	chr5	-	57163650	57163794	57163650	57163674	57163707	57163794
RI	ENSBTAG00000004284	UFD1	chr17	-	72706310	72707000	72706310	72706399	72706952	72707000
RI	ENSBTAG00000012141	RAD9A	chr29	+	45289963	45290073	45289963	45290061	45290062	45290073
RI	ENSBTAG00000010907	PPP1R1A	chr5	+	25513959	25515565	25513959	25514066	25514846	25515565
RI	ENSBTAG00000007364	PMS2	chr25	-	38006822	38007892	38006822	38007217	38007708	38007892
RI	ENSBTAG00000007364	PMS2	chr25	-	38006822	38010016	38006822	38007217	38009846	38010016
RI	ENSBTAG00000007364	PMS2	chr25	-	38006822	38010016	38006822	38007892	38009846	38010016
RI	ENSBTAG00000053949	NA	chr15	+	51493739	51495067	51493739	51494259	51495034	51495067
RI	ENSBTAG00000005653	ABCB4	chr4	+	33006668	33007530	33006668	33007254	33007444	33007530
RI	ENSBTAG00000030965	MCM7	chr25	+	36349890	36350835	36349890	36350469	36350755	36350835
RI	ENSBTAG00000049228	NA	chr11	+	44091160	44092058	44091160	44091716	44091823	44092058
RI	ENSBTAG00000010562	CD34	chr16	+	75487015	75489259	75487015	75487180	75487833	75489259
RI	ENSBTAG00000054572	PEG3	chr18	-	64112493	64113417	64112493	64112640	64113327	64113417
RI	ENSBTAG00000012460	ELF5	chr15	-	65019975	65020919	65019975	65020600	65020800	65020919
RI	ENSBTAG00000032538	TPRG1	chr1	-	78139275	78139718	78139275	78139509	78139619	78139718
RI	ENSBTAG00000034925	KHDC3L	chr9	+	12753490	12754308	12753490	12753670	12753936	12754308
RI	ENSBTAG00000008554	NINJ2	chr5	-	107436491	107437462	107436491	107436860	107437286	107437462
RI	ENSBTAG00000023417	RUVBL2	chr18	+	55568139	55568445	55568139	55568234	55568326	55568445
RI	ENSBTAG00000002942	SLC2A10	chr13	+	75378697	75380832	75378697	75378833	75379359	75380832
RI	ENSBTAG00000012990	PUS1	chr17	-	45171973	45173082	45171973	45172205	45172510	45173082
RI	ENSBTAG00000039886	NA	chr7	-	39087283	39088911	39087283	39088634	39088764	39088911
RI	ENSBTAG00000010113	ZBTB24	chr9	+	40680701	40682542	40680701	40680885	40681555	40682542
RI	ENSBTAG00000010113	ZBTB24	chr9	+	40680701	40682542	40680701	40681399	40681555	40682542
RI	ENSBTAG00000024605	DYNLL1	chr17	+	62791391	62791916	62791391	62791573	62791778	62791916
RI	ENSBTAG00000053667	NA	chr25	+	2415419	2415664	2415419	2415553	2415634	2415664
